Pressure Vapor	Temperature	Volume Vapor	Enthalpy Vapor	Entropy Vapor
80.0000	80.0000	0.4227	487.9000	2.1923
80.0000	85.0000	0.4288	492.5000	2.2053
80.0000	90.0000	0.4350	497.2000	2.2181
80.0000	95.0000	0.4411	501.8000	2.2309
80.0000	100.0000	0.4472	506.6000	2.2436
80.0000	110.0000	0.4594	516.1000	2.2688
90.0000	-35.0000	0.2486	393.1000	1.8584
90.0000	-30.0000	0.2542	396.7000	1.8737
90.0000	-25.0000	0.2598	400.5000	1.8888
90.0000	-20.0000	0.2654	404.2000	1.9038
90.0000	-15.0000	0.2710	408.0000	1.9187
90.0000	-10.0000	0.2765	411.9000	1.9334
90.0000	-5.0000	0.2821	415.7000	1.9480
90.0000	0.0000	0.2876	419.7000	1.9625
90.0000	5.0000	0.2931	423.6000	1.9769
90.0000	10.0000	0.2987	427.6000	1.9911
90.0000	15.0000	0.3042	431.7000	2.0053
90.0000	20.0000	0.3097	435.7000	2.0193
90.0000	25.0000	0.3152	439.9000	2.0333
90.0000	30.0000	0.3207	444.0000	2.0471
90.0000	35.0000	0.3262	448.2000	2.0609
90.0000	40.0000	0.3317	452.5000	2.0745
90.0000	45.0000	0.3371	456.8000	2.0881
90.0000	50.0000	0.3426	461.1000	2.1016
90.0000	55.0000	0.3481	465.4000	2.1150
90.0000	60.0000	0.3536	469.8000	2.1283
90.0000	65.0000	0.3590	474.3000	2.1415
90.0000	70.0000	0.3645	478.8000	2.1547
90.0000	75.0000	0.3700	483.3000	2.1678
90.0000	80.0000	0.3754	487.8000	2.1808
90.0000	85.0000	0.3809	492.4000	2.1937
90.0000	90.0000	0.3863	497.1000	2.2066
90.0000	95.0000	0.3918	501.8000	2.2193
90.0000	100.0000	0.3972	506.5000	2.2321
90.0000	105.0000	0.4026	511.2000	2.2447
90.0000	110.0000	0.4081	516.0000	2.2573
90.0000	115.0000	0.4135	520.8000	2.2698
100.0000	-35.0000	0.2231	392.9000	1.8477
100.0000	-30.0000	0.2281	396.6000	1.8631
100.0000	-25.0000	0.2332	400.3000	1.8782
100.0000	-20.0000	0.2382	404.0000	1.8932
100.0000	-15.0000	0.2433	407.9000	1.9081
100.0000	-10.0000	0.2483	411.7000	1.9229
100.0000	-5.0000	0.2533	415.6000	1.9375
100.0000	0.0000	0.2583	419.5000	1.9520
100.0000	5.0000	0.2633	423.5000	1.9664
100.0000	10.0000	0.2683	427.5000	1.9807
100.0000	15.0000	0.2733	431.5000	1.9948
100.0000	20.0000	0.2783	435.6000	2.0089
100.0000	25.0000	0.2832	439.7000	2.0228
100.0000	30.0000	0.2882	443.9000	2.0367
100.0000	35.0000	0.2932	448.1000	2.0505
100.0000	40.0000	0.2981	452.4000	2.0641
100.0000	45.0000	0.3031	456.6000	2.0777
100.0000	50.0000	0.3080	461.0000	2.0912
100.0000	55.0000	0.3129	465.3000	2.1046
100.0000	60.0000	0.3179	469.7000	2.1179
100.0000	65.0000	0.3228	474.2000	2.1312
100.0000	70.0000	0.3277	478.7000	2.1443
100.0000	75.0000	0.3326	483.2000	2.1574
100.0000	80.0000	0.3376	487.8000	2.1704
100.0000	85.0000	0.3425	492.4000	2.1834
100.0000	90.0000	0.3474	497.0000	2.1962
100.0000	95.0000	0.3523	501.7000	2.2090
100.0000	100.0000	0.3572	506.4000	2.2217
100.0000	105.0000	0.3621	511.1000	2.2344
100.0000	110.0000	0.3670	515.9000	2.2470
100.0000	115.0000	0.3719	520.7000	2.2595
101.3250	-35.0000	0.2201	392.8000	1.8464
101.3250	-30.0000	0.2251	396.5000	1.8617
101.3250	-25.0000	0.2301	400.3000	1.8769
101.3250	-20.0000	0.2351	404.0000	1.8919
101.3250	-15.0000	0.2400	407.8000	1.9068
101.3250	-10.0000	0.2450	411.7000	1.9215
101.3250	-5.0000	0.2499	415.6000	1.9362
101.3250	0.0000	0.2549	419.5000	1.9507
101.3250	5.0000	0.2598	423.5000	1.9651
101.3250	10.0000	0.2647	427.5000	1.9793
101.3250	15.0000	0.2697	431.5000	1.9935
101.3250	20.0000	0.2746	435.6000	2.0076
101.3250	25.0000	0.2795	439.7000	2.0215
101.3250	30.0000	0.2844	443.9000	2.0354
101.3250	35.0000	0.2893	448.1000	2.0492
101.3250	40.0000	0.2942	452.3000	2.0628
101.3250	45.0000	0.2990	456.6000	2.0764
101.3250	50.0000	0.3039	461.0000	2.0899
